name,type,latitude,longitude
Agder,Fylke,58.533697190544508,7.710662305515249
Oslo,Fylke,59.975392335668623,10.738759025694977
Troms og Finnmark,Fylke,69.987686441275571,23.443274091170696
Møre og Romsdal,Fylke,62.709912278943143,7.201969939935447
Vestfold og Telemark,Fylke,59.417662044070866,8.914348167088367
Trøndelag,Fylke,63.911749884246412,10.899119444670195
Rogaland,Fylke,59.035166461243975,5.868373444721857
Innlandet,Fylke,61.439147777644699,10.441060410553726
Viken,Fylke,60.043864112215608,9.972647764726981
Nordland,Fylke,67.123475111553162,13.908069345866942
Vestland,Fylke,60.912912622641649,5.969116966557067
Malvik,Kommune,63.346632887769879,10.861682685710973
Solund,Kommune,61.070297060852795,4.520154968266521
Vestby,Kommune,59.567233672643191,10.725766017946022
Gjerdrum,Kommune,60.080802624285830,11.013053538491031
Ål,Kommune,60.651730871269649,8.586805146210443
Iveland,Kommune,58.436878221416919,7.943724238776324
Seljord,Kommune,59.531017798900194,8.574777946308325
Horten,Kommune,59.405894489638321,10.466270200362560
Vågå,Kommune,61.512805965505066,8.727315949679994
Eidskog,Kommune,59.996299140910395,12.062326953643158
Vegårshei,Kommune,58.758805812629703,8.824125983690960
Gjerstad,Kommune,58.888800247375237,8.978739554302694
Engerdal,Kommune,61.981192179922914,11.954037861863670
Nittedal,Kommune,60.083547261491105,10.853362102299053
Vang,Kommune,61.217747730615002,8.475038613230327
Sør,Kommune,60.223645867561061,11.753809128115085
Lesja,Kommune,62.191467970958243,8.635425987378069
Sirdal,Kommune,58.866137481267927,6.839233696871799
Hjartdal,Kommune,59.700875266345015,8.707135306415953
Ullensaker,Kommune,60.150632817795454,11.196468599022619
Rollag,Kommune,60.010593057064838,9.217388409083897
Nord,Kommune,60.438027142271977,11.581759132661137
Sandefjord,Kommune,59.103903950749000,10.131579909716221
Gol,Kommune,60.746824918079589,8.999155325994092
Flesberg,Kommune,59.847977726909569,9.492557931195320
Ringebu,Kommune,61.557370238592227,10.319276917978600
Lørenskog,Kommune,59.892461852755716,10.969314009569906
Sel,Kommune,61.811626807919701,9.550197718266320
Hemsedal,Kommune,60.910876286491607,8.467363157257049
Dovre,Kommune,62.078704930935409,9.458658202587538
Kvinesdal,Kommune,58.510159849881134,6.977823556837069
Eidsvoll,Kommune,60.377510889741075,11.251919701156039
Åsnes,Kommune,60.650142377318367,12.167333464465377
Birkenes,Kommune,58.446806265356344,8.195850323311218
Risør,Kommune,58.681034017534820,9.323572308818711
Tønsberg,Kommune,59.370889777551575,10.390892038800919
Alver,Kommune,60.673092101248983,5.234379072163699
Sørfold,Kommune,67.514513990875912,15.750838108729251
Andøy,Kommune,69.233299309434528,15.810698376482907
Bømlo,Kommune,59.720141798402757,4.975170981355967
Eigersund,Kommune,58.398082614444888,5.953565625554718
Osterøy,Kommune,60.521114820022824,5.523315636738417
Ulvik,Kommune,60.639673222428478,7.208489060168603
Ibestad,Kommune,68.842319887093183,17.093879844339138
Sula,Kommune,62.415154444662377,6.189968789679964
Tysnes,Kommune,60.005621790224730,5.548940714493908
Lærdal,Kommune,61.044899527200485,7.722717167157576
Lierne,Kommune,64.367628136053455,13.627853789336537
Bodø,Kommune,67.403101452724087,14.043215467793431
Fitjar,Kommune,59.910829464208120,5.303183462864957
