name,latitude,longitude,count
Norge,61.1529386,8.7876653,8839
Ukraina,49.4871968,31.2718321,1968
USA,39.7837304,-100.445882,1949
Russland,64.6863136,97.7453061,1873
Sverige,59.6749712,14.5208584,1468
Spania,39.3260685,-4.8379791,1223
Italia,42.6384261,12.674297,788
Frankrike,46.603354,1.8883335,785
Tyskland,51.1638175,10.4478313,766
Danmark,55.670249,10.3333283,765
Israel,30.8124247,34.8594762,720
Kina,35.000074,104.999927,588
Gaza,31.5193148,34.4375701,474
Tyrkia,38.9597594,34.9249653,474
Nederland,52.2434979,5.6343227,456
Sveits,46.7985624,8.2319736,456
Storbritannia,54.7023545,-3.2765753,455
Australia,-24.7761086,134.755,446
Svalbard,78.7198519,20.3493328,443
Saudi-Arabia,25.6242618,42.3528328,432
Mali,16.3700359,-2.2900239,408
Japan,36.5748441,139.2394179,376
Sudan,14.5844444,29.4917691,373
Polen,52.215933,19.134422,356
Canada,61.0666922,-107.991707,341
Finland,63.2467777,25.9209164,328
Belgia,50.6402809,4.6667145,325
Iran,32.6475314,54.5643516,323
Brasil,-10.3333333,-53.2,319
Hellas,38.9953683,21.9877132,316
Portugal,39.6621648,-8.1353519,312
India,22.3511148,78.6677428,277
New Zealand,-41.5000831,172.8344077,275
Niger,17.7356214,9.3238432,259
Qatar,25.3336984,51.2295295,251
Østerrike,47.59397,14.12456,246
Georgia,32.3293809,-83.1137366,246
Belarus,53.4250605,27.6971358,244
Pakistan,30.3308401,71.247499,242
Island,64.9841821,-18.1059013,241
Syria,34.6401861,39.0494106,224
Egypt,26.2540493,29.2675469,224
Jordan,31.1667049,36.941628,218
Marokko,31.1728205,-7.3362482,212
Mexico,23.6585116,-102.0077097,196
Romania,45.9852129,24.6859225,196
Sør-Afrika,-28.8166236,24.991639,182
Palestina,31.5193148,34.4375701,181
Libanon,33.8750629,35.843409,168
Aserbajdsjan,40.3936294,47.7872508,166
Argentina,-34.9964963,-64.9672817,163
Nord-Korea,40.3736611,127.0870417,163
Colombia,4.099917,-72.9088133,158
Sør-Korea,36.638392,127.6961188,156
Kypros,34.9823018,33.1451285,154
Ungarn,47.1817585,19.5060937,154
Irland,52.865196,-7.9794599,148
Tsjekkia,49.7439047,15.3381061,142
Kroatia,45.3658443,15.6575209,142
Irak,33.0955793,44.1749775,140
Kasakhstan,48.1012954,66.7780818,135
Jamaica,18.1850507,-77.3947693,135
Libya,26.8234472,18.1236723,133
Slovakia,48.7411522,19.4528646,123
Monaco,43.7323492,7.4276832,121
Afghanistan,33.7680065,66.2385139,120
Serbia,44.0165,21.0059,119
Grønland,77.6192349,-42.8125967,117
Thailand,14.8971921,100.83273,116
Armenia,40.7696272,44.6736646,114
Kenya,1.4419683,38.4313975,110
Latvia,56.8406494,24.7537645,110
Filippinene,12.7503486,122.7312101,106
Slovenia,46.1199444,14.8153333,104
Nigeria,9.6000359,7.9999721,103
Tunisia,33.8439408,9.400138,102
Estland,58.7523778,25.3319078,99
Kosovo,42.5869578,20.9021231,95
Vietnam,15.9266657,107.9650855,91
Litauen,55.3500003,23.7499997,87
Taiwan,23.9739374,120.9820179,85
Ecuador,-1.3397668,-79.3666965,85
Sør-Sudan,7.8699431,29.6667897,84
Indonesia,-2.4833826,117.8902853,72
Uganda,1.5333554,32.2166578,67
Haiti,19.1399952,-72.3570972,67
Mongolia,46.8250388,103.8499736,66
Uruguay,-32.8755548,-56.0201525,65
Burkina Faso,12.0753083,-1.6880314,64
Peru,-6.8699697,-75.0458515,64
Senegal,14.4750607,-14.4529612,62
Malta,35.8885993,14.4476911,62
Jemen,16.3471243,47.8915271,55
Bulgaria,42.6073975,25.4856617,55
Bahrain,26.1551249,50.5344606,55
Moldova,47.2879608,28.5670941,54
Paraguay,-23.3165935,-58.1693445,52
Cuba,23.0131338,-80.8328748,51
Færøyene,61.8926,6.9118,48
Chile,-31.7613365,-71.3187697,45
Luxembourg,49.8158683,6.1296751,44
Singapore,1.357107,103.8194992,44
Myanmar,17.1750495,95.9999652,43
Somalia,8.3676771,49.083416,43
Etiopia,10.2116702,38.6521203,41
Nord-Makedonia,41.6171214,21.7168387,39
Eritrea,15.9500319,37.9999668,36
San Marino,43.9458623,12.458306,33
Bolivia,-17.0568696,-64.9912286,33
Kamerun,4.6125522,13.1535811,32
Algerie,28.0000272,2.9999825,31
Costa Rica,10.2735633,-84.0739102,30
Albania,41.000028,19.9999619,30
Ghana,8.0300284,-1.0800271,29
De forente arabiske emirater,24.0002488,53.9994829,29
Sri Lanka,7.87739585,80.6624785235589,28
Malaysia,4.5693754,102.2656823,26
Mosambik,-19.302233,34.9144977,26
Bosnia-Hercegovina,44.3053476,17.5961467,25
Gabon,-0.8999695,11.6899699,25
Tsjad,15.6134137,19.0156172,24
Guinea,10.7226226,-10.7083587,24
Usbekistan,41.32373,63.9528098,23
Rwanda,-1.9646631,30.0644358,22
Den dominikanske republikk,19.0974031,-70.3028026,22
Montenegro,42.9868853,19.5180992,21
Hongkong,22.2793278,114.1628131,21
Andorra,42.5407167,1.5732033,20
Den sentralafrikanske republikk,7.0323598,19.9981227,20
Zambia,-14.5189121,27.5589884,19
Bangladesh,24.4769288,90.2934413,19
Nepal,28.1083929,84.0917139,18
Tanzania,-6.5247123,35.7878438,18
Kambodsja,12.5433216,104.8144914,17
Elfenbenskysten,7.9897371,-5.5679458,17
Panama,8.559559,-81.1308434,16
Venezuela,8.0018709,-66.1109318,15
Zimbabwe,-18.4554963,29.7468414,15
El Salvador,13.8000382,-88.9140683,14
Gibraltar,51.791921,-0.9022301,14
Guyana,4.8417097,-58.6416891,13
Botswana,-23.1681782,24.5928742,13
Kapp Verde,16.0000552,-24.0083947,12
Kuwait,29.2733964,47.4979476,11
Oman,21.0000287,57.0036901,11
Liberia,5.7499721,-9.3658524,11
Guatemala,15.5855545,-90.345759,11
Madagaskar,-18.9249604,46.4416422,11
Angola,-11.8775768,17.5691241,10
Nicaragua,12.6090157,-85.2936911,10
Ekvatorial-Guinea,1.613172,10.5170357,10
Curaçao,12.1176488,-68.9309263,10
Djibouti,11.8145966,42.8453061,9
Tadsjikistan,38.6281733,70.8156541,9
Mauritania,20.2540382,-9.2399263,8
Honduras,15.2572432,-86.0755145,8
Fiji,-18.1239696,179.0122737,8
Papua Ny-Guinea,-5.6816069,144.2489081,7
Laos,20.0171109,103.378253,7
Liechtenstein,47.1416307,9.5531527,7
Benin,9.5293472,2.2584408,7
